,survey_id,pack_type,total packs owned,number free,Percent Free,Purchased
473,122,Stuff Packs,20,0,0.0,20
474,123,Expansion Packs,6,0,0.0,6
475,123,Game Packs,4,0,0.0,4
476,123,Kits,2,2,1.0,0
477,123,Stuff Packs,4,1,0.25,3
478,124,Expansion Packs,6,0,0.0,6
479,124,Game Packs,3,1,0.3333333333333333,2
480,124,Kits,11,2,0.18181818181818182,9
481,124,Stuff Packs,7,4,0.5714285714285714,3
482,125,Expansion Packs,6,0,0.0,6
483,125,Game Packs,4,0,0.0,4
484,125,Kits,1,1,1.0,0
485,125,Stuff Packs,5,1,0.2,4
486,126,Expansion Packs,7,0,0.0,7
487,126,Game Packs,8,0,0.0,8
488,126,Kits,2,0,0.0,2
489,126,Stuff Packs,14,0,0.0,14
490,127,Expansion Packs,7,0,0.0,7
491,127,Game Packs,5,1,0.2,4
492,127,Kits,3,2,0.6666666666666666,1
493,127,Stuff Packs,6,2,0.3333333333333333,4
494,128,Expansion Packs,7,0,0.0,7
495,128,Game Packs,4,0,0.0,4
496,128,Stuff Packs,5,2,0.4,3
497,129,Expansion Packs,14,0,0.0,14
498,129,Game Packs,11,0,0.0,11
499,129,Kits,14,1,0.07142857142857142,13
500,129,Stuff Packs,17,1,0.058823529411764705,16
501,130,Expansion Packs,5,0,0.0,5
502,130,Game Packs,2,0,0.0,2
503,130,Kits,11,1,0.09090909090909091,10
504,130,Stuff Packs,12,3,0.25,9
505,131,Expansion Packs,15,0,0.0,15
506,131,Game Packs,8,1,0.125,7
507,131,Kits,2,2,1.0,0
508,131,Stuff Packs,14,2,0.14285714285714285,12
509,132,Expansion Packs,12,0,0.0,12
510,132,Game Packs,4,0,0.0,4
511,132,Kits,2,1,0.5,1
512,132,Stuff Packs,4,1,0.25,3
513,133,Expansion Packs,15,0,0.0,15
514,133,Game Packs,11,0,0.0,11
515,133,Kits,17,2,0.11764705882352941,15
516,133,Stuff Packs,20,1,0.05,19
517,134,Expansion Packs,10,0,0.0,10
518,134,Game Packs,5,0,0.0,5
519,134,Kits,8,0,0.0,8
520,134,Stuff Packs,5,0,0.0,5
521,135,Expansion Packs,15,0,0.0,15
522,135,Game Packs,12,0,0.0,12
523,135,Kits,21,0,0.0,21
524,135,Stuff Packs,19,0,0.0,19
525,136,Expansion Packs,15,0,0.0,15
526,136,Game Packs,11,0,0.0,11
527,136,Kits,30,0,0.0,30
528,136,Stuff Packs,20,0,0.0,20
529,137,Expansion Packs,8,0,0.0,8
530,137,Game Packs,2,1,0.5,1
531,137,Kits,9,1,0.1111111111111111,8
532,137,Stuff Packs,7,0,0.0,7
533,138,Expansion Packs,8,0,0.0,8
534,138,Game Packs,4,0,0.0,4
535,138,Stuff Packs,2,0,0.0,2
536,139,Expansion Packs,16,0,0.0,16
537,139,Game Packs,12,0,0.0,12
538,139,Kits,33,1,0.030303030303030304,32
539,139,Stuff Packs,20,0,0.0,20
540,140,Expansion Packs,2,1,0.5,1
541,140,Game Packs,4,0,0.0,4
542,140,Stuff Packs,2,0,0.0,2
543,141,Expansion Packs,14,0,0.0,14
544,141,Game Packs,10,0,0.0,10
545,141,Kits,9,3,0.3333333333333333,6
546,141,Stuff Packs,17,3,0.17647058823529413,14
547,142,Expansion Packs,16,0,0.0,16
548,142,Game Packs,11,0,0.0,11
549,142,Kits,19,2,0.10526315789473684,17
550,142,Stuff Packs,20,4,0.2,16
551,143,Expansion Packs,16,0,0.0,16
552,143,Game Packs,11,0,0.0,11
553,143,Kits,19,1,0.05263157894736842,18
554,143,Stuff Packs,13,1,0.07692307692307693,12
555,144,Expansion Packs,9,0,0.0,9
556,144,Game Packs,4,0,0.0,4
557,144,Kits,5,3,0.6,2
558,144,Stuff Packs,9,3,0.3333333333333333,6
559,145,Expansion Packs,15,0,0.0,15
560,145,Game Packs,9,0,0.0,9
561,145,Kits,9,2,0.2222222222222222,7
562,145,Stuff Packs,14,1,0.07142857142857142,13
563,146,Expansion Packs,13,0,0.0,13
564,146,Game Packs,7,0,0.0,7
565,146,Kits,5,2,0.4,3
566,146,Stuff Packs,11,1,0.09090909090909091,10
567,147,Expansion Packs,14,0,0.0,14
568,147,Game Packs,5,0,0.0,5
569,147,Kits,5,0,0.0,5
